XOmicsPhenoID,XOmicsGenoID,XOmicsFamID,XOmicsMethylID,XOmicsmetaboID
XOP1,XOG1,XOF1,XOE1,XOM1 
XOP2,XOG2,XOF2,XOE2,XOM2
XOP3,XOG3,XOF3,XOE3,XOM3
XOP4,XOG4,XOF4,XOE4,XOM4
XOP5,XOG5,XOF5,XOE5,XOM5
XOP6,XOG6,XOF6,XOE6,XOM6
XOP7,XOG7,XOF7,XOE7,XOM7
XOP8,XOG8,XOF8,XOE8,XOM8
XOP9,XOG9,XOF9,XOE9,XOM9
XOP10,XOG10,XOF10,XOE10,XOM10
XOP11,XOG11,XOF11,XOE11,XOM11
XOP12,XOG12,XOF12,XOE12,XOM12
XOP13,XOG13,XOF13,XOE13,XOM13
XOP14,XOG14,XOF14,XOE14,XOM14
XOP15,XOG15,XOF15,XOE15,XOM15
XOP16,XOG16,XOF16,XOE16,XOM16
XOP17,XOG17,XOF17,XOE17,XOM17
XOP18,XOG18,XOF18,XOE18,XOM18
XOP19,XOG19,XOF19,XOE19,XOM19
XOP20,XOG20,XOF20,XOE20,XOM20
XOP21,XOG21,XOF21,XOE21,XOM21
XOP22,XOG22,XOF22,XOE22,XOM22
XOP23,XOG23,XOF23,XOE23,XOM23
XOP24,XOG24,XOF24,XOE24,XOM24
XOP25,XOG25,XOF25,XOE25,XOM25
XOP26,XOG26,XOF26,XOE26,XOM26
XOP27,XOG27,XOF27,XOE27,XOM27
XOP28,XOG28,XOF28,XOE28,XOM28
XOP29,XOG29,XOF29,XOE29,XOM29
XOP30,XOG30,XOF30,XOE30,XOM30
XOP31,XOG31,XOF31,XOE31,XOM31
XOP32,XOG32,XOF32,XOE32,XOM32
XOP33,XOG33,XOF33,XOE33,XOM33
XOP34,XOG34,XOF34,XOE34,XOM34
XOP35,XOG35,XOF35,XOE35,XOM35
XOP36,XOG36,XOF36,XOE36,XOM36
XOP37,XOG37,XOF37,XOE37,XOM37
XOP38,XOG38,XOF38,XOE38,XOM38
XOP39,XOG39,XOF39,XOE39,XOM39
XOP40,XOG40,XOF40,XOE40,XOM40
XOP41,XOG41,XOF41,XOE41,XOM41
XOP42,XOG42,XOF42,XOE42,XOM42
XOP43,XOG43,XOF43,XOE43,XOM43
XOP44,XOG44,XOF44,XOE44,XOM44
XOP45,XOG45,XOF45,XOE45,XOM45
XOP46,XOG46,XOF46,XOE46,XOM46
XOP47,XOG47,XOF47,XOE47,XOM47
XOP48,XOG48,XOF48,XOE48,XOM48
XOP49,XOG49,XOF49,XOE49,XOM49
XOP50,XOG50,XOF50,XOE50,XOM50
XOP51,XOG51,XOF51,XOE51,XOM51
XOP52,XOG52,XOF52,XOE52,XOM52
XOP53,XOG53,XOF53,XOE53,XOM53
XOP54,XOG54,XOF54,XOE54,XOM54
XOP55,XOG55,XOF55,XOE55,XOM55
XOP56,XOG56,XOF56,XOE56,XOM56
XOP57,XOG57,XOF57,XOE57,XOM57
XOP58,XOG58,XOF58,XOE58,XOM58
XOP59,XOG59,XOF59,XOE59,XOM59
XOP60,XOG60,XOF60,XOE60,XOM60
XOP61,XOG61,XOF61,XOE61,XOM61
XOP62,XOG62,XOF62,XOE62,XOM62
XOP63,XOG63,XOF63,XOE63,XOM63
XOP64,XOG64,XOF64,XOE64,XOM64
XOP65,XOG65,XOF65,XOE65,XOM65
XOP66,XOG66,XOF66,XOE66,XOM66
XOP67,XOG67,XOF67,XOE67,XOM67
XOP68,XOG68,XOF68,XOE68,XOM68
XOP69,XOG69,XOF69,XOE69,XOM69
XOP70,XOG70,XOF70,XOE70,XOM70
XOP71,XOG71,XOF71,XOE71,XOM71
XOP72,XOG72,XOF72,XOE72,XOM72
XOP73,XOG73,XOF73,XOE73,XOM73
XOP74,XOG74,XOF74,XOE74,XOM74
XOP75,XOG75,XOF75,XOE75,XOM75
XOP76,XOG76,XOF76,XOE76,XOM76
XOP77,XOG77,XOF77,XOE77,XOM77
XOP78,XOG78,XOF78,XOE78,XOM78
XOP79,XOG79,XOF79,XOE79,XOM79
XOP80,XOG80,XOF80,XOE80,XOM80
XOP81,XOG81,XOF81,XOE81,XOM81
XOP82,XOG82,XOF82,XOE82,XOM82
XOP83,XOG83,XOF83,XOE83,XOM83
XOP84,XOG84,XOF84,XOE84,XOM84
XOP85,XOG85,XOF85,XOE85,XOM85
XOP86,XOG86,XOF86,XOE86,XOM86
XOP87,XOG87,XOF87,XOE87,XOM87
XOP88,XOG88,XOF88,XOE88,XOM88
XOP89,XOG89,XOF89,XOE89,XOM89
XOP90,XOG90,XOF90,XOE90,XOM90
XOP91,XOG91,XOF91,XOE91,XOM91
XOP92,XOG92,XOF92,XOE92,XOM92
XOP93,XOG93,XOF93,XOE93,XOM93
XOP94,XOG94,XOF94,XOE94,XOM94
XOP95,XOG95,XOF95,XOE95,XOM95
XOP96,XOG96,XOF96,XOE96,XOM96
XOP97,XOG97,XOF97,XOE97,XOM97
XOP98,XOG98,XOF98,XOE98,XOM98
XOP99,XOG99,XOF99,XOE99,XOM99
XOP100,XOG100,XOF100,XOE100,XOM100
