Sample Name	Protocol REF	Extract Name	Protocol REF
buccal_mucosa_synth_XOP_001	DNA extraction	buccal_DNA_synth_XOG_001	genotype profiling
buccal_mucosa_synth_XOP_002	DNA extraction	buccal_DNA_synth_XOG_002	genotype profiling
buccal_mucosa_synth_XOP_003	DNA extraction	buccal_DNA_synth_XOG_003	genotype profiling
buccal_mucosa_synth_XOP_004	DNA extraction	buccal_DNA_synth_XOG_004	genotype profiling
buccal_mucosa_synth_XOP_005	DNA extraction	buccal_DNA_synth_XOG_005	genotype profiling
buccal_mucosa_synth_XOP_006	DNA extraction	buccal_DNA_synth_XOG_006	genotype profiling
buccal_mucosa_synth_XOP_007	DNA extraction	buccal_DNA_synth_XOG_007	genotype profiling
buccal_mucosa_synth_XOP_008	DNA extraction	buccal_DNA_synth_XOG_008	genotype profiling
buccal_mucosa_synth_XOP_009	DNA extraction	buccal_DNA_synth_XOG_009	genotype profiling
buccal_mucosa_synth_XOP_010	DNA extraction	buccal_DNA_synth_XOG_010	genotype profiling
buccal_mucosa_synth_XOP_011	DNA extraction	buccal_DNA_synth_XOG_011	genotype profiling
buccal_mucosa_synth_XOP_012	DNA extraction	buccal_DNA_synth_XOG_012	genotype profiling
buccal_mucosa_synth_XOP_013	DNA extraction	buccal_DNA_synth_XOG_013	genotype profiling
buccal_mucosa_synth_XOP_014	DNA extraction	buccal_DNA_synth_XOG_014	genotype profiling
buccal_mucosa_synth_XOP_015	DNA extraction	buccal_DNA_synth_XOG_015	genotype profiling
buccal_mucosa_synth_XOP_016	DNA extraction	buccal_DNA_synth_XOG_016	genotype profiling
buccal_mucosa_synth_XOP_017	DNA extraction	buccal_DNA_synth_XOG_017	genotype profiling
buccal_mucosa_synth_XOP_018	DNA extraction	buccal_DNA_synth_XOG_018	genotype profiling
buccal_mucosa_synth_XOP_019	DNA extraction	buccal_DNA_synth_XOG_019	genotype profiling
buccal_mucosa_synth_XOP_020	DNA extraction	buccal_DNA_synth_XOG_020	genotype profiling
buccal_mucosa_synth_XOP_021	DNA extraction	buccal_DNA_synth_XOG_021	genotype profiling
buccal_mucosa_synth_XOP_022	DNA extraction	buccal_DNA_synth_XOG_022	genotype profiling
buccal_mucosa_synth_XOP_023	DNA extraction	buccal_DNA_synth_XOG_023	genotype profiling
buccal_mucosa_synth_XOP_024	DNA extraction	buccal_DNA_synth_XOG_024	genotype profiling
buccal_mucosa_synth_XOP_025	DNA extraction	buccal_DNA_synth_XOG_025	genotype profiling
buccal_mucosa_synth_XOP_026	DNA extraction	buccal_DNA_synth_XOG_026	genotype profiling
buccal_mucosa_synth_XOP_027	DNA extraction	buccal_DNA_synth_XOG_027	genotype profiling
buccal_mucosa_synth_XOP_028	DNA extraction	buccal_DNA_synth_XOG_028	genotype profiling
