Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Labeled Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
urine_synth_XOP_001	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_001 	Labelling metabolites	labeled_synth_XOM_001 	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_001 	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_002	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_002	Labelling metabolites	labeled_synth_XOM_002	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_002	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_003	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_003	Labelling metabolites	labeled_synth_XOM_003	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_003	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_004	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_004	Labelling metabolites	labeled_synth_XOM_004	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_004	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_005	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_005	Labelling metabolites	labeled_synth_XOM_005	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_005	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_006	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_006	Labelling metabolites	labeled_synth_XOM_006	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_006	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_007	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_007	Labelling metabolites	labeled_synth_XOM_007	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_007	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_008	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_008	Labelling metabolites	labeled_synth_XOM_008	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_008	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_009	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_009	Labelling metabolites	labeled_synth_XOM_009	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_009	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_010	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_010	Labelling metabolites	labeled_synth_XOM_010	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_010	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_011	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_011	Labelling metabolites	labeled_synth_XOM_011	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_011	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_012	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_012	Labelling metabolites	labeled_synth_XOM_012	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_012	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_013	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_013	Labelling metabolites	labeled_synth_XOM_013	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_013	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
