Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Labeled Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
urine_XOP1	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM1 	Labelling metabolites	labeled_XOM1 	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM1 	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP10	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM10	Labelling metabolites	labeled_XOM10	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM10	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP100	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM100	Labelling metabolites	labeled_XOM100	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM100	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP11	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM11	Labelling metabolites	labeled_XOM11	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM11	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP12	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM12	Labelling metabolites	labeled_XOM12	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM12	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP13	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM13	Labelling metabolites	labeled_XOM13	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM13	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP14	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM14	Labelling metabolites	labeled_XOM14	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM14	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP15	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM15	Labelling metabolites	labeled_XOM15	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM15	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP16	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM16	Labelling metabolites	labeled_XOM16	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM16	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP17	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM17	Labelling metabolites	labeled_XOM17	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM17	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP18	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM18	Labelling metabolites	labeled_XOM18	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM18	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
