Sample Name	Protocol REF	Extract Name	Protocol REF
buccal_mucosa_synth_XOP_001	DNA extraction	buccal_DNA_synth_XOE_001	methylation profiling
buccal_mucosa_synth_XOP_002	DNA extraction	buccal_DNA_synth_XOE_002	methylation profiling
buccal_mucosa_synth_XOP_003	DNA extraction	buccal_DNA_synth_XOE_003	methylation profiling
buccal_mucosa_synth_XOP_004	DNA extraction	buccal_DNA_synth_XOE_004	methylation profiling
buccal_mucosa_synth_XOP_005	DNA extraction	buccal_DNA_synth_XOE_005	methylation profiling
buccal_mucosa_synth_XOP_006	DNA extraction	buccal_DNA_synth_XOE_006	methylation profiling
buccal_mucosa_synth_XOP_007	DNA extraction	buccal_DNA_synth_XOE_007	methylation profiling
buccal_mucosa_synth_XOP_008	DNA extraction	buccal_DNA_synth_XOE_008	methylation profiling
buccal_mucosa_synth_XOP_009	DNA extraction	buccal_DNA_synth_XOE_009	methylation profiling
buccal_mucosa_synth_XOP_010	DNA extraction	buccal_DNA_synth_XOE_010	methylation profiling
buccal_mucosa_synth_XOP_011	DNA extraction	buccal_DNA_synth_XOE_011	methylation profiling
buccal_mucosa_synth_XOP_012	DNA extraction	buccal_DNA_synth_XOE_012	methylation profiling
buccal_mucosa_synth_XOP_013	DNA extraction	buccal_DNA_synth_XOE_013	methylation profiling
buccal_mucosa_synth_XOP_014	DNA extraction	buccal_DNA_synth_XOE_014	methylation profiling
buccal_mucosa_synth_XOP_015	DNA extraction	buccal_DNA_synth_XOE_015	methylation profiling
buccal_mucosa_synth_XOP_016	DNA extraction	buccal_DNA_synth_XOE_016	methylation profiling
buccal_mucosa_synth_XOP_017	DNA extraction	buccal_DNA_synth_XOE_017	methylation profiling
buccal_mucosa_synth_XOP_018	DNA extraction	buccal_DNA_synth_XOE_018	methylation profiling
buccal_mucosa_synth_XOP_019	DNA extraction	buccal_DNA_synth_XOE_019	methylation profiling
buccal_mucosa_synth_XOP_020	DNA extraction	buccal_DNA_synth_XOE_020	methylation profiling
buccal_mucosa_synth_XOP_021	DNA extraction	buccal_DNA_synth_XOE_021	methylation profiling
buccal_mucosa_synth_XOP_022	DNA extraction	buccal_DNA_synth_XOE_022	methylation profiling
buccal_mucosa_synth_XOP_023	DNA extraction	buccal_DNA_synth_XOE_023	methylation profiling
buccal_mucosa_synth_XOP_024	DNA extraction	buccal_DNA_synth_XOE_024	methylation profiling
buccal_mucosa_synth_XOP_025	DNA extraction	buccal_DNA_synth_XOE_025	methylation profiling
buccal_mucosa_synth_XOP_026	DNA extraction	buccal_DNA_synth_XOE_026	methylation profiling
buccal_mucosa_synth_XOP_027	DNA extraction	buccal_DNA_synth_XOE_027	methylation profiling
buccal_mucosa_synth_XOP_028	DNA extraction	buccal_DNA_synth_XOE_028	methylation profiling
buccal_mucosa_synth_XOP_029	DNA extraction	buccal_DNA_synth_XOE_029	methylation profiling
