Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[family ID]	Protocol REF	Parameter Value[anatomical entity]	Sample Name	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[sample type]	Term Source REF	Term Accession Number
synth_XOP_001	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_001	sample collection	urine	urine_synth_XOP_001	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_001	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_001	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_001						
synth_XOP_002	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_002	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_002						
synth_XOP_002	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_002	sample collection	urine	urine_synth_XOP_002	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_003	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_003	sample collection	urine	urine_synth_XOP_003	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_003	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_003	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_003						
synth_XOP_004	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_004	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_004						
synth_XOP_004	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_004	sample collection	urine	urine_synth_XOP_004	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_005	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_005	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_005						
synth_XOP_005	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_005	sample collection	urine	urine_synth_XOP_005	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_006	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_006	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_006						
synth_XOP_006	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_006	sample collection	urine	urine_synth_XOP_006	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_007	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_007	sample collection	urine	urine_synth_XOP_007	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_007	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_007	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_007						
synth_XOP_008	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_008	sample collection	urine	urine_synth_XOP_008	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_008	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_008	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_008						
synth_XOP_009	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_009	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_009						
synth_XOP_009	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_009	sample collection	urine	urine_synth_XOP_009	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_010	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_010	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_010						
synth_XOP_010	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_010	sample collection	urine	urine_synth_XOP_010	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_011	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_011	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_011						
synth_XOP_011	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_011	sample collection	urine	urine_synth_XOP_011	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_012	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_012	sample collection	urine	urine_synth_XOP_012	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
